# Time 	 Throughput 
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2	0
2.1	6.36288
2.2	14.3312
2.3	10.3456
2.4	10.3456
2.5	10.3456
2.6	10.3456
2.7	10.3456
2.8	10.3456
2.9	10.3456
3	10.3456
3.1	10.3456
3.2	10.3456
3.3	10.3456
3.4	10.3456
3.5	10.3456
3.6	10.4304
3.7	10.3456
3.8	10.3456
3.9	10.3456
4	10.3456
4.1	10.2608
4.2	10.4304
4.3	10.3456
4.4	10.3456
4.5	10.3456
4.6	10.3456
4.7	10.3456
4.8	10.3456
4.9	10.3456
5	10.4304
5.1	10.3456
5.2	10.3456
5.3	10.3456
5.4	10.3456
5.5	10.3456
5.6	10.3456
5.7	10.3456
5.8	10.3456
5.9	10.3456
6	10.3456
6.1	10.3456
6.2	10.3456
6.3	10.3456
6.4	10.4304
6.5	10.3456
6.6	10.3456
6.7	10.3456
6.8	10.3456
6.9	10.3456
7	10.3456
7.1	10.3456
7.2	10.3456
7.3	10.3456
7.4	10.3456
7.5	10.3456
7.6	10.3456
7.7	10.3456
7.8	10.4304
7.9	10.3456
8	10.2608
8.1	10.3456
8.2	10.4304
8.3	10.3456
8.4	10.3456
8.5	10.3456
8.6	10.3456
8.7	10.3456
8.8	10.3456
8.9	10.3456
9	10.3456
9.1	10.3456
9.2	10.3456
9.3	10.4304
9.4	10.3456
9.5	10.3456
9.6	10.3456
9.7	10.3456
9.8	10.3456
9.9	10.3456
10	10.3456
10.1	10.3456
10.2	10.3456
10.3	10.3456
10.4	10.3456
10.5	10.3456
10.6	10.3456
10.7	10.3456
10.8	10.4304
10.9	10.3456
11	10.3456
11.1	10.3456
11.2	10.3456
11.3	10.3456
11.4	10.3456
11.5	10.3456
11.6	10.3456
11.7	10.3456
11.8	10.3456
11.9	10.3456
12	10.3456
12.1	10.4304
12.2	10.3456
12.3	10.3456
12.4	10.2608
12.5	10.4304
12.6	10.3456
12.7	10.3456
12.8	10.3456
12.9	10.3456
13	10.3456
13.1	10.3456
13.2	10.3456
13.3	10.3456
13.4	10.3456
13.5	10.3456
13.6	10.4304
13.7	10.3456
13.8	10.3456
13.9	10.3456
14	10.3456
14.1	10.3456
14.2	10.3456
14.3	10.3456
14.4	10.3456
14.5	10.3456
14.6	10.3456
14.7	10.3456
14.8	10.3456
14.9	10.4304
15	10.3456
15.1	10.3456
15.2	10.3456
15.3	10.2608
15.4	10.4304
15.5	10.3456
15.6	10.3456
15.7	10.3456
15.8	10.3456
15.9	10.3456
16	10.3456
16.1	10.3456
16.2	10.3456
16.3	10.3456
16.4	10.3456
16.5	10.3456
16.6	10.4304
16.7	10.2608
16.8	10.4304
16.9	10.3456
17	10.3456
17.1	10.3456
17.2	10.3456
17.3	10.3456
17.4	10.3456
17.5	10.3456
17.6	10.3456
17.7	10.3456
17.8	10.4304
17.9	10.2608
18	10.4304
18.1	10.2608
18.2	10.4304
18.3	10.3456
18.4	10.3456
18.5	10.3456
18.6	10.3456
18.7	10.3456
18.8	10.3456
18.9	10.3456
19	10.3456
19.1	10.3456
19.2	10.4304
19.3	10.3456
19.4	10.3456
19.5	10.2608
19.6	10.4304
19.7	10.3456
19.8	10.3456
19.9	10.3456
20	10.3456
20.1	10.3456
20.2	10.3456
20.3	10.3456
20.4	10.3456
20.5	10.3456
20.6	10.4304
20.7	10.3456
20.8	10.2608
20.9	10.4304
21	10.3456
21.1	10.176
21.2	10.5152
21.3	10.3456
21.4	10.3456
21.5	10.3456
21.6	10.3456
21.7	10.3456
21.8	10.3456
21.9	10.3456
22	10.4304
22.1	10.3456
22.2	10.3456
22.3	10.3456
22.4	10.3456
22.5	10.2608
22.6	10.4304
22.7	10.3456
22.8	10.3456
22.9	10.3456
23	10.3456
23.1	10.3456
23.2	10.3456
23.3	10.3456
23.4	10.4304
23.5	10.3456
23.6	10.3456
23.7	10.3456
23.8	10.3456
23.9	10.3456
24	10.3456
24.1	10.3456
24.2	10.2608
24.3	10.4304
24.4	10.3456
24.5	10.3456
24.6	10.3456
24.7	10.3456
24.8	10.3456
24.9	10.4304
25	10.3456
25.1	10.3456
25.2	10.2608
25.3	10.4304
25.4	10.3456
25.5	10.3456
25.6	10.3456
25.7	10.3456
25.8	10.3456
25.9	10.3456
26	10.3456
26.1	10.3456
26.2	10.3456
26.3	10.4304
26.4	10.3456
26.5	10.3456
26.6	10.3456
26.7	10.3456
26.8	10.3456
26.9	10.2608
27	10.4304
27.1	10.3456
27.2	10.3456
27.3	10.3456
27.4	10.3456
27.5	10.3456
27.6	10.3456
27.7	10.4304
27.8	10.3456
27.9	10.3456
28	10.3456
28.1	10.3456
28.2	10.3456
28.3	10.3456
28.4	10.3456
28.5	10.3456
28.6	10.3456
28.7	10.3456
28.8	10.3456
28.9	10.3456
29	10.3456
29.1	10.4304
29.2	10.3456
29.3	10.3456
29.4	10.3456
29.5	10.3456
29.6	10.3456
29.7	10.3456
29.8	10.3456
29.9	10.3456
30	10.3456
30.1	0
30.2	0
30.3	0
30.4	0
30.5	0
30.6	0
30.7	0
30.8	0
30.9	0
